id;title;date;view_count;rating;content;is_full_content;category
34635600;Yemeksepeti’nde Haksız Kurye Kesintileri Ve Geçiş Talebimizin Göz Ardı Edilmesi!;23 Aralık 00:24;81.0;;"Yemeksepeti’nde Zg** kodlu işletme olarak yaklaşık 1 senedir ciddi sorunlar yaşıyoruz. Kendi kuryemize geçiş talebimizi defalarca iletmemize rağmen bu konuda hiçbir adım atılmadı ve sürekli geçiştirilerek oyalanıyoruz. Bunun yanında, “önlenebilir bekleme süresi” adı altında, kesintilerle haksız yere para kaybı yaşıyoruz. Örneğin, müşteri siparişte “köftem iyi pişsin” şeklinde not bırakıyor; buna rağmen sistem bize yalnızca 8 dakikalık hazırlık süresi tanıyor. Ürünü müşterinin istediği gibi, iyi pişmiş şekilde hazırlamaya çalıştığımızda süre doğal olarak uzuyor ve her seferinde işletmemizden kurye bekledi diye ekstra ücret kesiliyor. Hem kendi kuryemize geçiş talebimizin dikkate alınmasını hem de bu şekilde haksız ve mantıksız olduğunu düşündüğümüz kurye bekleme ücreti kesintilerinin sonlandırılmasını ve bugüne kadar yapılan haksız kesintilerin tarafımıza iadesini talep ediyorum.";True;satici
34642064;Yemeksepeti'nde Görünmeyen İşletmemiz Nedeniyle Sipariş Alamıyoruz;23 Aralık 16:51;43.0;;Fesleğen Kahvaltı Evi olarak Yemeksepeti Partner ekibi tarafından aranıp müşterilerimizden talep olduğu, bu nedenle komisyon indirimi uygulanacağı ve platforma dahil olmamızın uygun olacağı söylendi. Bunun üzerine bizden istenen tüm belgeleri eksiksiz ileterek süreci başlattık. Ardından aktivasyon ekibinden bir yetkili bizi arayarak aktivasyonun tamamlandığını ve artık sipariş alabileceğimizi belirtti. Ancak buna rağmen firma ismimiz platformda kesinlikle görünmüyor ve müşterilerimiz Yemeksepeti üzerinden bize sipariş veremiyor. Müşterilerimize “yakında aktif olacağız” diye bilgi vermemize rağmen işletmemiz listelenmediği için onların gözünde zor durumda kaldık ve adeta yalancı duruma düştük. 20 Aralık’tan beri devam eden bu sorunla ilgili hem yazılı hem de telefon üzerinden Yemeksepeti’ne defalarca durumu ilettim. Buna rağmen işletmemiz hâlâ aramalarda çıkmıyor ve sipariş alamıyoruz. Acil olarak Fesleğen Kahvaltı Evi’nin Yemeksepeti’nde aramalarda görünür hale getirilmesini ve platform üzerinden siparişe açılmasını, yaşadığımız mağduriyetin en kısa sürede giderilmesini talep ediyorum.;True;satici
34624053;Siparişimde Onayım Olmadan Gizli Bahşiş Eklendi İade Ve Açıklama Bekliyorum;21 Aralık 23:50;71.0;;"21.12.2025 tarihinde saat 20.01’de Yemeksepeti üzerinden Beyoğlu Çorbacısı’ndan 190 TL tutarında çorba siparişi verdim. Minimum sipariş tutarı 200 TL olduğu için, siparişi tamamlamak amacıyla 0.5’lik su ekleyerek toplam tutarı 210 TL olacak şekilde ayarladım. Sipariş adrese geldiğinde kurye benden 236,99 TL istedi, yani fiilen 237 TL aldı. Aradaki 27 TL farkın ne olduğunu sorduğumda bunun “bahşiş” olduğunu söyledi. Bu bahşiş benim hiçbir onayım, bilgim ve rızam olmadan eklenmiş durumda. Ne Beyoğlu Çorbacısı ne de Yemeksepeti tarafından böyle bir bahşiş bilgisini onayladığıma dair hiçbir ekran, uyarı veya bilgilendirme görmedim. Severek, düzenli olarak sipariş verdiğim bir yerden, benden habersiz ve iznim olmadan böyle bir tutar alınmasını asla kabul etmiyorum. 27 TL’nin tarafıma iadesini ve hem Beyoğlu Çorbacısı hem de Yemeksepeti tarafından bu uygulama için açık bir şekilde özür dilenmesini istiyorum. Müşteriden gizli şekilde bahşiş eklenmesi hem güven sarsıcı hem de son derece itici bir uygulamadır; bu durumun acilen araştırılıp bir daha yaşanmaması için gerekli adımların atılmasını talep ediyorum.";True;satici
34604610;Yemeksepeti Restoran Açılışı Haftalardır Bekletiliyor Mağduriyetimiz Büyüyor;19 Aralık 17:58;134.0;;"Yemeksepeti’ne 18 Kasım tarihinde İzmir Karabağlar’da bulunan restoranımızın açılışı için başvuruda bulunduk. Bize en geç 1–2 gün içinde restoran açılış işlemlerinin tamamlanacağı söylendi ancak aradan 23 gün geçmesine rağmen hâlâ herhangi bir işlem yapılmadı ve restoranımız sistemde açılmadı. Bu süreçte defalarca kez mail gönderdim, neredeyse 100’e yakın mail attım ve her seferinde sadece “size dönüş yapılacaktır” cevabını aldım. Ne somut bir adım atıldı ne de net bir bilgi verildi. Restoranın açılmaması nedeniyle ciddi anlamda mağdur durumdayız; biz burada esnaflık yapmaya çalışırken, bu kadar uzun süre oyalandığımız için gelir kaybı yaşıyoruz. Yemeksepeti’nin restoranımızın açılışını acilen tamamlamasını ve süreçte yaşattığı bu mağduriyet için de resmi bir açıklama ve özür bekliyorum.";True;satici
34588055;Yemeksepeti'nde Dükkan Devri Sonrası Uzayan Menü Açılış Süreci Mağduriyeti;18 Aralık 15:58;102.0;1.0;Çiğköfte ve burger dükkanı devraldım 40 gün olmasına rağmen Yemeksepeti hala panellerimi açıp menü kopyalaması yapamadı. Burada çalışan herkesin hakkına giriyorlar.;True;satici
34591222;Yemeksepeti'nde Restoran Sayfamın Uzun Süredir Aktif Edilmemesi Nedeniyle Mağduriyet Yaşıyorum!;18 Aralık 13:43;17.0;;"İzmir Bornova’da bulunan restoranım için Yemeksepeti’nde sayfa açılışı talebinde bulundum; ancak 01.12.2025 tarihinden bu yana, yani yaklaşık 18 gündür sayfam hiçbir şekilde aktif hale getirilmiyor. Aynı işletme için 18 farklı kişi tarafından aciliyet bildirilmesine rağmen, tarafıma herhangi bir aksiyon alındığına dair somut bir dönüş yapılmadı. Bu süreçte Yemeksepeti ile çağrı merkezi ve diğer kanallar üzerinden defalarca görüştüm. Her seferinde talep oluşturduklarını ve 2 gün içinde dönüş yapılacağını söylüyorlar; fakat bu dönüş hiçbir zaman gerçekleşmiyor. Sürekli aynı cevabı almama rağmen, sorunumun çözülmemesi hem zaman kaybına hem de ciddi bir mağduriyete neden oluyor. Sayfanın aktif olmaması sebebiyle müşteri kaybı, ciro kaybı ve personel tarafında da ciddi bir vakit kaybı yaşıyoruz. Restoran olarak dijital satış kanallarına bağımlı olduğumuz bu dönemde, bu kadar uzun süre bekletilmek işletmemi olumsuz etkiliyor. Yemeksepeti restoran sayfamın acilen aktif hale getirilmesini ve yaşadığım mağduriyetin artık son bulmasını talep ediyorum.";True;satici
34582385;Adres Ve Konum Güncellenmediği İçin Ciddi Ciro Kaybı Yaşıyoruz;17 Aralık 16:23;96.0;;Yemeksepeti’nde kayıtlı bir işletmenin müdürüyüm. Yaklaşık 2 ay önce restoranımız için adres ve konum değişikliği talebinde bulundum. Ancak sistemde talebim “çözümlendi” olarak görünmesine rağmen adres ve konumumuz hâlâ güncellenmedi. Konumun yanlış görünmesi nedeniyle müşteriler bizi doğru yerde bulamıyor, bu nedenle uzun süredir ciddi ciro kaybı yaşıyoruz. Defalarca talep oluşturmamıza rağmen sonuç alamadık ve sorun aynen devam ediyor. Adres ve konum bilgilerimizin sistemde doğru şekilde güncellenmesini ve bu durum nedeniyle yaşadığımız mağduriyetin acil ve ivedi şekilde giderilmesini talep ediyorum.;True;satici
34580793;Yemeksepeti'nde Restoran Hesabımızın Aktif Edilmemesi Nedeniyle Satış Yapamıyoruz;17 Aralık 14:10;85.0;;Noır Caffe olarak Yemeksepeti’nde restoran hesabımızın açılmasıyla ilgili bir haftadır ciddi sıkıntı yaşıyoruz. Satıcı hesabımız bir türlü aktif edilmiyor, bu nedenle ürünlerimizi sisteme girsek de müşteriler bizi göremiyor ve satış yapamıyoruz. Bu süreçte Yemeksepeti’ni defalarca telefonla aradık, her seferinde “bakacağız, döneceğiz” denilerek görüşme sonlandırıldı ancak hiçbir ilerleme sağlanmadı, kimse net bir bilgi vermedi. İşletme olarak hem zaman kaybı yaşıyoruz hem de potansiyel satışlarımız engellenmiş oluyor. Yemeksepeti’nden beklentimiz, Noır Caffe adına kayıtlı restoran hesabımızın acilen aktif edilmesi ve ürünlerimizin müşterilerin görebileceği şekilde yayına alınmasıdır. Bu konuda artık oyalama olmadan net ve hızlı bir çözüm talep ediyoruz.;True;satici
34572254;Yemeksepeti Express Kurye Sözleşmesinde Fesih Sorunu Ve Mağduriyet!;16 Aralık 17:26;128.0;1.0;"Bursa Gemlik’te faaliyet gösteren Allez Kitchen isimli restoran olarak yaklaşık 1 yıl önce Yemeksepeti ile Yemeksepeti Express kurye hizmeti için anlaşma yaptık. Artan maliyetler nedeniyle bir süredir kendi kuryemizle çalışmak istediğimizi belirttik ve yaklaşık 1 aydır bu kurye anlaşmasını iptal ettirmek için uğraşıyoruz. 16.12.2025 tarihinde yaptığımız son görüşmede, sözleşmeyi iptal etmeyeceklerini, Yemeksepeti sipariş iptal oranı yüzde 30’u geçmeden Express kurye sözleşmesini sonlandıramayacağımızı ilettiler. Express kurye hizmet bedelinin sipariş tutarı üzerinden yüzde 20 + KDV olarak yansıtılması, satış fiyatlarımızı ciddi şekilde artırdığı için müşterilerimize makul fiyat sunmakta zorlanıyoruz. Bu nedenle restoranımıza maaşlı kurye alarak kendi kuryemizle çalışmaya karar verdik. Ancak Yemeksepeti, gerekli iptal oranı koşulları sağlanmadığı gerekçesiyle bizi kendi kuryeleriyle çalışmaya zorlamakta ve sözleşmeyi sonlandırmamaktadır. Bu dayatma sebebiyle Yemeksepeti üzerindeki restoran satışlarımızı tamamen kapattık ve restoranımızın platform üzerindeki sayfasının da kapatılması talebini kendilerine ilettik. Kurye sözleşmesinin, restoranın kendi kuryesiyle çalışmak istemesi halinde engel çıkarılmadan feshedilmesini; bize uygulanan bu şartların yeniden değerlendirilerek mağduriyetimizin giderilmesini talep ediyorum.";True;satici
34557917;Yemeksepeti Aynı Restoran Farklı İsimlerle Tekrar Siparişe Zorlanmak;15 Aralık 13:53;62.0;;İzmir Yeşilova'da sipariş verdiğim pidelerin hep aynı restorandan geldiğini fark ettim. Sonrasında biraz araştırdığımda, aynı restoranın Yemeksepeti üzerinde beş farklı panel açtığını gördüm. Yemeksepeti'nin buna nasıl izin verdiğini anlamıyorum. Amacım, beğenmediğim bir yerden tekrar sipariş vermek istemememe rağmen, hep aynı yerden, aynı kutularla, aynı şekilde servis ediliyor. Tüketiciyi yanıltıcı bu durumun herkes tarafından bilinmesini ve derhal düzeltilmesini talep ediyorum. Bahsettiğim restoranlar ise İzmir Yeşilova Mahallesi'nde yer alan: -Meşhur Nazilli Pide -Eski Nazilli Pide -Nazilli Pizza Pide -Mustafa Usta Pide & Çorba -Nazilli Pide Bu restoranların hepsi aynı adreste bulunuyor. Bir daha da Yemeksepeti'ni asla tercih etmem.;True;satici
34543150;Yemeksepeti Restoran Başvurum 3 Aydır Onaylanmıyor Ve Bilgilendirme Yapılmıyor;13 Aralık 16:22;94.0;;Yemeksepeti’ne yaklaşık 3 ayı aşkın süre önce restoran başvurusu yaptım. Çiğköfte dükkanım için restoran hesabı açmak ve Yemeksepeti üzerinden sipariş alarak satış yapmak istiyorum ancak sistemde hâlâ “başvurunuz onaylanmayı bekliyor” ifadesi görünüyor ve hesabım bir türlü aktif edilmiyor. Bu süre boyunca defalarca kontrol etmeme rağmen herhangi bir ilerleme veya bilgilendirme yapılmadı. Müşteri hizmetlerine ulaşmaya çalıştığımızda da net bir sonuç alamıyor, başvurunun neden beklemede olduğu ve ne zaman sonuçlanacağı konusunda hiçbir açıklama alamıyoruz. Bu durum işimi ve potansiyel kazancımı doğrudan olumsuz etkiliyor. Restoran başvurumun acilen incelenip onaylanarak hesabımın aktif edilmesini ve tarafıma süreçle ilgili açık ve net bir bilgilendirme yapılmasını talep ediyorum.;True;satici
34565144;Yemeksepeti Partner Uygulamasındaki Sorun Nedeniyle Ciddi Sipariş Ve İş Kaybı Yaşıyoruz!;15 Aralık 23:55;146.0;;"Ürgüp d*** k*** işletmesi olarak, 8 Aralık tarihinden bu yana Yemeksepeti Partner uygulamasına giriş yapamıyoruz ve panelde 'Siparişler' butonu tamamen kaybolmuş durumda. Bu nedenle yaklaşık bir haftadır çevrim içi hiçbir sipariş alamıyor, günlük ortalama 15 sipariş alma imkanımız varken bu siparişlerden tamamen mahrum kalıyoruz. Yaşadığımız bu sorunla ilgili olarak Yemeksepeti müşteri hizmetleri ne defalarca ulaştık; ancak ne herhangi bir geri dönüş aldık ne de bir çözüm sunuldu. İşletme olarak ciddi iş kaybı yaşarken, müşterilerimiz gözünde de mağdur ve ulaşılmaz bir duruma düşüyoruz. İşletmemizin Yemeksepeti Partner hesabının ve 'Siparişler' butonunun acilen tekrar aktif hale getirilmesini, tarafımıza ivedi şekilde geri dönüş yapılarak yaşadığımız sorunun neden kaynaklandığının açıkça açıklanmasını ve benzer bir durumun tekrar yaşanmaması için gerekli teknik inceleme ve kontrollerin yapılmasını talep ediyoruz.";True;satici
34542016;Yemeksepeti Panelindeki Teknik Arıza Nedeniyle Ciddi Ciro Kaybı Ve Mağduriyet;13 Aralık 14:19;184.0;;"Yemeksepeti üzerinden hizmet verdiğimiz Kale Burger ve Kalede Tavuk restoranlarımızda 3 gündür ciddi bir teknik arıza yaşıyoruz. Restoran panelini açtığımda, sayfayı yenilediğim anda panel kendiliğinden kapanıyor ve işletmem Yemeksepeti’nde kapalı göründüğü için sipariş alamıyoruz. Normal şartlarda sadece Yemeksepeti üzerinden günlük en az 10 bin TL ciro yapan bir işletmeyiz. Bu sorun nedeniyle 3 gündür platform üzerinden hiçbir sipariş alamıyor olmamız, işimizi ve ciromuzu ciddi şekilde zarara uğratıyor. Yemeksepeti’ne defalarca destek talebi oluşturdum. Her seferinde sorunun çözüldüğü söyleniyor; ancak paneldeki teknik problem aynen devam ediyor, herhangi bir kalıcı çözüm üretilmiş değil. Yaşadığımız bu teknik sorunun acil ve kalıcı şekilde çözülmesini talep ediyorum. Sorun çözülemediği takdirde yaşadığım maddi kayıp ve mağduriyetle ilgili gerekli resmi makamlara şikayette bulunacağımı belirtmek istiyorum.";True;satici
34538881;Yemeksepeti'nde Aynı Adrese Açılan Çoklu Sayfalar Nedeniyle Müşteri Karışıklığı Ve İşletme Mağduriyeti;13 Aralık 01:05;139.0;1.0;Yemeksepeti üzerinden “K**** Tantuni” işletmemle ilgili yaklaşık 1 yıldır devam eden bir sorun yaşıyorum. Burdur’da aynı adrese ait işletmemin yaklaşık 20 farklı sayfası açık görünüyor. Bu durum, özellikle müşterilerimizin gerçek sayfamızı bulmasını zorlaştırıyor ve ciddi karışıklığa sebep oluyor. Müşteriler, hangi sayfanın güncel ve doğru olduğunu anlayamadığı için sipariş vermekte tereddüt ediyor, bu da işletmemi doğrudan olumsuz etkiliyor. Şimdiye kadar bu konu ile ilgili Yemeksepeti’ne destek talebi iletmedim, ancak artık çözülmesi gerektiğini düşündüğüm için bu şikayeti yazma gereği duydum. İşletme sahibi olarak talebim, “H****** K****” adıyla kayıtlı K**** Tantuni işletmeme ait aynı adresten açılmış tüm gereksiz veya yinelenen sayfaların kapatılması ve tek, doğru bir sayfa üzerinden müşterilere ulaşmamın sağlanmasıdır. Bu konuda gerekli kontrol ve düzenlemenin acilen yapılmasını rica ediyorum.;True;satici
34482419;Yemeksepeti Pos Entegrasyonu Bilgilerinin İletilmemesi Nedeniyle Satış Yapamıyoruz!;08 Aralık 11:10;109.0;1.0;"B*** Et & Mangal olarak Kasım 2025’ten beri Yemeksepeti üzerinden satışa açılmış olmamıza rağmen, pos entegrasyonu için gereken bilgiler tarafımıza bir türlü iletilmediği için sipariş alamıyor ve satış yapamıyoruz. Yemeksepeti panelinde kayıt numaramız f1cm olarak görünmektedir. Yaklaşık bir aydır hem işletme e-posta adresimiz üzerinden hem de restoran yazılım firmamız a*** Yazılım aracılığıyla Yemeksepeti’ne defalarca e-posta gönderdik. Ancak her seferinde, sanki önceki yazışmalar hiç yokmuş gibi davranılıyor; işletmeye “yazılım firması göndersin”, yazılım firmasına ise “işletme göndersin” denilerek bizi sürekli bir döngünün içinde uğraştırıyorlar. Aynı cevaplar tekrar edilmesine rağmen, sorunumuza yönelik hiçbir çözüm üretilmiyor. Telefonla aradığımızda da sadece “e-posta atın”, “bekleyin, dönecekler” gibi genel yanıtlar alıyoruz. En az 4–5 kez e-posta göndermemize ve defalarca aramamıza rağmen hiçbir somut aksiyon alınmadı, geri dönüş yapılmadı. Bu süreçte işletme olarak tamamen atıl durumda kaldık. Yemeksepeti’nden özellikle pos entegrasyonumuz için gerekli olan apı Client, chaincode ve gerekli entegrasyon erişim bilgilerinin tarafımıza acilen iletilmesini talep ediyoruz. Bu bilgiler olmadan sistemimiz çalışmıyor ve Yemeksepeti’nde satışa açık gözükmemize rağmen tek bir sipariş bile alamıyoruz. İşletmemiz yaklaşık 10 gündür ciddi anlamda mağdur edilmiş durumdadır. Yemeksepeti’nin bu iletişim kopukluğu, ilgisizlik ve çözüm üretmeyen yaklaşımının bir an önce son bulmasını; konuyla gerçekten ilgilenecek bir yetkilinin sürece sahip çıkmasını ve gerekli entegrasyon bilgilerinin ivedilikle tarafımıza ulaştırılmasını rica ediyoruz.";True;satici
34481231;Restoranımın Açılışı Sürekli Erteleniyor, Ciddi Mağduriyet Yaşıyorum;08 Aralık 06:32;184.0;;"Yaklaşık 4 Kasım’dan bu yana Yemeksepeti Partner üzerinden Pizza Park isimli restoranımın açılış sürecini tamamlamış olmama rağmen, restoranım hâlâ aktif edilmedi. Tüm evraklar, menüler ve fotoğraflar eksiksiz şekilde sisteme yüklendi ve onaya gönderildi. Bu süreçte defalarca kez müşteri hizmetleri ni aradım. Her seferinde bana “En geç 5 iş günü içinde açılacak” denilerek aynı standart yanıt verildi. Ancak 5 iş günü geçmesine rağmen hiçbir geri dönüş yapılmadığı için mail attığımda da bu kez sadece “İnceliyoruz, en kısa sürede dönüş yapacağız” şeklinde kalıplaşmış bir cevapla geçiştirildim. Yaklaşık bir aydır bu döngü devam ediyor ve gerçek anlamda hiçbir işlem yapılmıyor. Ne bir yetkili tarafından aranıyorum, ne somut bir bilgilendirme yapılıyor ne de Konya Selçuklu’da bulunan Pizza Park isimli restoranım sistemde aktif ediliyor. Çalışır durumda olan bir işletme olarak, restoranımın Yemeksepeti’nde açılmaması nedeniyle ciddi ciro kaybı yaşıyorum, müşteriler online sipariş veremediği için prestij kaybına da uğruyorum. Yemeksepeti gibi büyük bir platformun bu kadar basit bir açılış sürecini yönetememesi, ilgisiz kalması ve iletişim kurmaması kabul edilebilir değildir. Bu ilgisizliği ve iletişim eksikliğini açıkça hiç hoş bulmuyorum. Talebim nettir; Konya Selçuklu’da bulunan Pizza Park restoranımın derhal aktif edilmesini ve yaşadığım mağduriyetle ilgili olarak tarafıma resmi ve açıklayıcı bir geri dönüş yapılmasını istiyorum. İletişim için e-posta adresim: y***************@gmail.com.";True;satici
